geo_id_ads,region
9049136,Cataluña
9198465,Cataluña
9222274,Cataluña
9207478,Cataluña
9196988,Cataluña
9215111,Cataluña
9208469,Cataluña
9196072,Cataluña
1005436,Cataluña
9210997,Cataluña
9216448,Cataluña
9219058,Cataluña
9211969,Cataluña
9209333,Cataluña
9213655,Cataluña
9214358,Cataluña
9214626,Cataluña
9208091,Cataluña
9211564,Cataluña
1005428,Cataluña
9217822,Cataluña
9208246,Cataluña
9213830,Cataluña
9209203,Cataluña
9209853,Cataluña
9049076,Cataluña
9197251,Cataluña
1005434,Cataluña
9049020,Cataluña
9211154,Cataluña
9219208,Cataluña
9210357,Cataluña
9210446,Cataluña
9049094,Cataluña
1005431,Cataluña
9210127,Cataluña
9215307,Cataluña
9215408,Cataluña
9207713,Cataluña
9216761,Cataluña
9220087,Cataluña
9218990,Cataluña
9196110,Cataluña
9049125,Cataluña
9209080,Cataluña
9216696,Cataluña
9198594,Cataluña
9211595,Cataluña
9215598,Cataluña
1005469,Cataluña
9212319,Cataluña
9208387,Cataluña
9221801,Cataluña
9049070,Cataluña
9211873,Cataluña
9211004,Cataluña
9213562,Cataluña
1005430,Cataluña
9213169,Cataluña
9210830,Cataluña
9209817,Cataluña
9210045,Cataluña
9215564,Cataluña
9218947,Cataluña
9210917,Cataluña
1005423,Cataluña
9216054,Cataluña
9221607,Cataluña
9221678,Cataluña
9219271,Cataluña
9212941,Cataluña
9208431,Cataluña
9212595,Cataluña
9212691,Cataluña
9220940,Cataluña
9222786,Cataluña
9210169,Cataluña
9221659,Cataluña
9214622,Cataluña
9208159,Cataluña
9209866,Cataluña
9211694,Cataluña
9217039,Cataluña
9197910,Cataluña
9189298,Cataluña
9222548,Cataluña
9220663,Cataluña
9214707,Cataluña
9216758,Cataluña
9220419,Cataluña
9209546,Cataluña
9211397,Cataluña
9210534,Cataluña
9219456,Cataluña
1005472,Cataluña
9216853,Cataluña
9041190,Cataluña
9214924,Cataluña
20274,Ceuta
1005447,Ceuta
9210181,Comunidad Valenciana
9049151,Comunidad Valenciana
9197249,Comunidad Valenciana
9220920,Comunidad Valenciana
9217018,Comunidad Valenciana
9049189,Comunidad Valenciana
9220809,Comunidad Valenciana
1005540,Comunidad Valenciana
9209593,Comunidad Valenciana
1005536,Comunidad Valenciana
9219462,Comunidad Valenciana
9215928,Comunidad Valenciana
9214900,Comunidad Valenciana
9217919,Comunidad Valenciana
9049246,Comunidad Valenciana
9220550,Comunidad Valenciana
9210971,Comunidad Valenciana
9222734,Comunidad Valenciana
9049178,Comunidad Valenciana
9207180,Comunidad Valenciana
9197405,Comunidad Valenciana
9049008,Comunidad Valenciana
9214585,Comunidad Valenciana
9210910,Comunidad Valenciana
9207786,Comunidad Valenciana
9049159,Comunidad Valenciana
9049223,Comunidad Valenciana
9210866,Comunidad Valenciana
9211520,Comunidad Valenciana
9221642,Comunidad Valenciana
9213036,Comunidad Valenciana
9049134,Comunidad Valenciana
9049013,Comunidad Valenciana
9217464,Comunidad Valenciana
9197076,Comunidad Valenciana
9049040,Comunidad Valenciana
9207697,Comunidad Valenciana
1005539,Comunidad Valenciana
9192749,Comunidad Valenciana
9215573,Comunidad Valenciana
9222065,Comunidad Valenciana
9216144,Comunidad Valenciana
9194616,Comunidad Valenciana
9217429,Comunidad Valenciana
9049075,Comunidad Valenciana
9189796,Comunidad Valenciana
9220542,Comunidad Valenciana
9210305,Comunidad Valenciana
9207338,Comunidad Valenciana
9218961,Comunidad Valenciana
9048981,Comunidad Valenciana
9221651,Comunidad Valenciana
9220700,Comunidad Valenciana
9213964,Comunidad Valenciana
9049011,Comunidad Valenciana
9049054,Comunidad Valenciana
9049211,Comunidad Valenciana
20267,Comunidad Valenciana
1005537,Comunidad Valenciana
9214512,Comunidad Valenciana
9210754,Comunidad Valenciana
9049113,Comunidad Valenciana
9198712,Comunidad Valenciana
9049152,Comunidad Valenciana
9215184,Comunidad Valenciana
9220933,Comunidad Valenciana
9049024,Comunidad Valenciana
9216283,Comunidad Valenciana
9210314,Comunidad Valenciana
9215821,Comunidad Valenciana
9207370,Comunidad Valenciana
9213195,Comunidad Valenciana
9219264,Comunidad Valenciana
9214003,Comunidad Valenciana
9207747,Comunidad Valenciana
9217415,Comunidad Valenciana
9219650,Comunidad Valenciana
9207506,Comunidad Valenciana
9222162,Comunidad Valenciana
9209905,Comunidad Valenciana
9212459,Comunidad Valenciana
9221692,Comunidad Valenciana
9049165,Comunidad Valenciana
9207460,Comunidad Valenciana
9213459,Comunidad Valenciana
1005545,Comunidad Valenciana
9219655,Comunidad Valenciana
9041188,Comunidad Valenciana
9048995,Comunidad Valenciana
9211765,Comunidad Valenciana
9048962,Comunidad Valenciana
9211944,Comunidad Valenciana
9213520,Comunidad Valenciana
9212544,Comunidad Valenciana
9211898,Comunidad Valenciana
9219401,Comunidad Valenciana
9212292,Comunidad Valenciana
9219432,Comunidad Valenciana
9047055,Comunidad Valenciana
9049026,Comunidad Valenciana
9218226,Comunidad Valenciana
9219786,Comunidad Valenciana
9213272,Comunidad Valenciana
9220453,Comunidad Valenciana
9048979,Comunidad Valenciana
9048961,Comunidad Valenciana
9210528,Comunidad Valenciana
9221675,Comunidad Valenciana
9218478,Comunidad Valenciana
9049130,Comunidad Valenciana
9191429,Comunidad Valenciana
9214839,Comunidad Valenciana
9208299,Comunidad Valenciana
9211299,Comunidad Valenciana
9049248,Comunidad Valenciana
9214623,Comunidad Valenciana
9049183,Comunidad Valenciana
9212672,Comunidad Valenciana
9222036,Comunidad Valenciana
9049032,Comunidad Valenciana
9198268,Comunidad Valenciana
9221999,Comunidad Valenciana
9049209,Comunidad Valenciana
9222314,Comunidad Valenciana
20297,Comunidad Valenciana
9219179,Comunidad Valenciana
9216835,Comunidad Valenciana
9211063,Comunidad Valenciana
9049050,Comunidad Valenciana
9220666,Comunidad Valenciana
9198470,Comunidad Valenciana
9208104,Comunidad Valenciana
9049049,Comunidad Valenciana
9215754,Comunidad Valenciana
9049101,Comunidad Valenciana
9220613,Comunidad Valenciana
9198230,Comunidad Valenciana
9217183,Comunidad Valenciana
9218262,Comunidad Valenciana
9216840,Comunidad Valenciana
